,,,,,All Type of Report (All Grades) for 01-Jan-2025 to 28-Mar-2026,,,,
Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-01-2025 to 28-03-2026,Arrival Unit,Min Price 01-01-2025 to 28-03-2026,Modal Price 01-01-2025 to 28-03-2026,Max Price 01-01-2025 to 28-03-2026,Price Unit
Cereals,Barley(Jau),16-01-2025,1980.00,385.62,Metric Tonnes,2689.83,2776.91,2905.50,Rs./Quintal
Cereals,Foxtail Millet(Navane),16-01-2025,-,16.60,Metric Tonnes,1802.11,2216.14,3001.51,Rs./Quintal
Cereals,Hybrid Cumbu,16-01-2025,-,0.10,Metric Tonnes,3000.00,3500.00,4000.00,Rs./Quintal
Cereals,Jowar(Sorghum),16-01-2025,3699.00,747.97,Metric Tonnes,2735.48,3098.96,3398.79,Rs./Quintal
Cereals,Kodo Millet(Varagu),16-01-2025,-,167.85,Metric Tonnes,2173.91,2407.75,2480.88,Rs./Quintal
Cereals,Kutki,16-01-2025,-,17.50,Metric Tonnes,3216.43,3259.14,3259.14,Rs./Quintal
Cereals,Maize,16-01-2025,2400.00,24104.61,Metric Tonnes,2165.12,2297.63,2393.71,Rs./Quintal
Cereals,Paddy(Basmati),16-01-2025,-,8177.80,Metric Tonnes,2597.73,2752.85,2855.44,Rs./Quintal
Cereals,Paddy(Common),16-01-2025,2369.00,453642.01,Metric Tonnes,2293.01,2334.20,2353.57,Rs./Quintal
Cereals,Ragi(Finger Millet),16-01-2025,4886.00,145.40,Metric Tonnes,3210.81,3397.40,3638.94,Rs./Quintal
Cereals,Rice,16-01-2025,-,21615.65,Metric Tonnes,3263.45,3490.91,3694.29,Rs./Quintal
Cereals,Wheat,16-01-2025,2425.00,29610.91,Metric Tonnes,2788.11,2946.63,3055.55,Rs./Quintal
Cereals,Bajra(Pearl Millet/Cumbu),17-01-2025,2775.00,4083.74,Metric Tonnes,2485.51,2584.55,2647.15,Rs./Quintal
Cereals,Barley(Jau),17-01-2025,1980.00,207.01,Metric Tonnes,2382.21,2425.02,2467.19,Rs./Quintal
Cereals,Foxtail Millet(Navane),17-01-2025,-,38.10,Metric Tonnes,1883.41,2536.56,3239.58,Rs./Quintal
Cereals,Jowar(Sorghum),17-01-2025,3699.00,991.01,Metric Tonnes,2656.90,3268.14,3615.33,Rs./Quintal
Cereals,Kodo Millet(Varagu),17-01-2025,-,244.43,Metric Tonnes,2244.00,2446.73,2474.73,Rs./Quintal
Cereals,Kutki,17-01-2025,-,23.31,Metric Tonnes,3046.33,3046.33,3046.33,Rs./Quintal
